model,smote,recall_mean,f1_mean,roc_auc_mean,recall_std,f1_std,roc_auc_std
logistic,True,0.6512956119882696,0.47387716141992786,0.7254459961147351,0.006507330230869944,0.003110190911014023,0.003865901403220787
svm,True,0.6036742675298028,0.5258706581992652,0.7592134126973755,0.012362094316612046,0.00755105294187254,0.004567883772058962
random_forest,True,0.4712167812168039,0.5108538707029314,0.7628342141994638,0.006622386871886079,0.008090194361960063,0.005336669152606912
